,alpha,heuristic,inductive,ILP,split
inst36,1.0,0.6326530612244898,0.6385542168674699,0.2815533980582524,0.6271186440677966
inst37,1.0,0.5913978494623656,0.6397515527950309,0.10603588907014681,0.5779816513761468
inst38,0.42424242424242425,0.5652173913043479,0.6000000000000001,0.22388059701492538,0.6296296296296295
inst39,0.7419354838709676,0.6901408450704225,0.6521739130434783,0.6666666666666666,0.6842105263157894
inst40,1.0,0.5833333333333333,0.6103896103896105,0.1891891891891892,0.5686274509803921
inst41,0.8125,0.6744186046511628,0.6716417910447761,0.25,0.673469387755102
inst42,0.33962264150943394,0.5629139072847682,0.5952380952380952,0.10893854748603353,0.582089552238806
inst43,0.6444444444444444,0.6799999999999999,0.6444444444444444,0.3902439024390244,0.6507936507936508
inst44,0.8399999999999999,0.6000000000000001,0.6438356164383561,0.1656441717791411,0.5833333333333333
inst45,0.8333333333333333,0.6842105263157894,0.631578947368421,0.19254658385093168,0.6666666666666666
inst46,0.5402298850574713,0.5744680851063829,0.5602836879432623,0.18243243243243243,0.5670103092783505
inst47,0.8461538461538463,0.6842105263157894,0.7142857142857143,0.42857142857142855,0.6666666666666666
inst48,1.0,0.6216216216216216,0.625,0.24210526315789477,0.6000000000000001
inst49,0.34177215189873417,0.5510204081632653,0.43999999999999995,0.3164556962025316,0.5510204081632653
inst50,1.0,0.8181818181818181,0.8,0.37931034482758624,0.7142857142857143
inst51,1.0,0.6470588235294118,0.6666666666666666,0.30434782608695654,0.6000000000000001
inst52,0.7777777777777779,0.6190476190476191,0.6000000000000001,0.21804511278195488,0.6000000000000001
inst53,0.6000000000000001,0.5454545454545454,0.6000000000000001,0.1917808219178082,0.5510204081632653
inst54,0.6000000000000001,1.0,0.7142857142857143,0.5,0.6470588235294118
inst55,0.5107913669064748,0.5522388059701492,0.5619047619047619,0.15948275862068967,0.5789473684210527
inst56,0.5,0.6000000000000001,0.5700934579439253,0.30158730158730157,0.589041095890411
inst57,0.7499999999999999,0.7777777777777779,0.7777777777777779,0.6000000000000001,0.7777777777777779
inst58,1.0,0.8181818181818181,0.8,0.37931034482758624,0.7142857142857143
