,alpha,heuristic,inductive,ILP,split
inst65,0.999645390070922,0.999290780141844,1.0,1.0,0.0008274231678486998
inst66,0.7502909251936069,0.9999279123414072,1.0,1.0,0.8999279123413927
inst67,0.7211474072956814,0.9992212195370653,1.0,1.0,0.8569879224590283
inst68,0.8884650134163647,0.9995165946333711,1.0,1.0,0.930378556542683
inst69,0.8335503472222359,0.9998263888888889,1.0,1.0,0.6667824074073998
inst70,0.9997579278625031,0.9995602799524369,1.0,1.0,0.8574122526672778
inst71,0.9995386389850057,0.9972318339100346,1.0,1.0,0.0011534025374855825
inst72,0.9487111111111058,1.0,1.0,1.0,0.7072592592592547
inst73,0.8389321554496423,1.0,1.0,1.0,0.7312177922430025
inst74,0.6671932041561274,0.9998595900028081,1.0,1.0,0.6667789946644116
inst75,0.6672342776773093,0.9996420773319509,1.0,1.0,0.8586781888997166
inst76,0.5843430034129731,0.9998103905953736,1.0,1.0,0.8570101305596289
inst77,0.8335110163468408,0.999763089315328,1.0,1.0,0.7998561613699996
inst78,0.6924130692168061,0.9990179487680968,1.0,1.0,0.9039970483120336
inst79,0.8449978268087323,0.9995561480503974,1.0,1.0,0.8795838163866747
inst80,0.7683497992270681,0.9682774489392747,1.0,1.0,0.9199161122651367
inst81,0.8752259036144578,0.9998744979919678,1.0,1.0,0.7499372489959838
inst82,1.0,1.0,1.0,1.0,0.0
inst83,0.6929655984154418,0.9995473528778028,1.0,1.0,0.897553584637074
inst84,0.8003694906307549,0.9999010292953285,1.0,1.0,0.7999924593748639
inst85,0.9383669794960122,1.0,1.0,1.0,0.923777070531284
inst86,0.7399464718411018,0.9998350994591597,1.0,1.0,0.8948094897340367
inst87,0.7763811253226222,0.9995803601394374,1.0,1.0,0.9211574174111938
inst88,0.7498783708646094,0.9989326121936629,1.0,1.0,0.8442733212020033
inst89,0.9371794484312225,0.9999203423211814,1.0,1.0,0.9282884874717008
inst90,0.8670652189163769,0.9999002742458241,1.0,1.0,0.919841514755496
inst91,0.8699366812044117,0.9680642547886672,1.0,1.0,0.8900387421745553
inst92,0.6675757575757513,0.9995454545454545,1.0,1.0,0.6664999999999939
inst93,0.8810362771335261,0.9998950516870442,1.0,1.0,0.9440612490545642
inst94,0.8334825425246325,0.9998507908087138,1.0,1.0,0.6665622202327597
inst95,0.8191932196370457,0.9999427786678874,1.0,1.0,0.9246289820019424
inst96,0.6256221793543625,1.0,1.0,1.0,0.9041365137836049
