,alpha,heuristic,inductive,ILP,split
inst28,1.1818181818181819,1.1304347826086956,1.1851851851851851,1.1304347826086956,1.1304347826086956
inst29,1.2,1.0,1.1428571428571428,1.4,1.2
inst30,1.3846153846153846,1.3333333333333333,1.4166666666666667,2.3333333333333335,1.5555555555555556
inst31,1.48,1.3846153846153846,1.288888888888889,3.3529411764705883,1.3142857142857143
inst32,1.5,1.3333333333333333,1.3770491803278688,2.1578947368421053,1.3488372093023255
inst33,1.0,1.2,1.2173913043478262,1.2307692307692308,1.2
inst34,1.125,1.25,1.2,1.5,1.2307692307692308
inst35,0.6666666666666666,1.0,1.0,1.0,1.0
inst36,1.2325581395348837,1.3571428571428572,1.4054054054054055,2.02,1.3793103448275863
inst37,0.75,1.1111111111111112,1.0909090909090908,1.7777777777777777,1.1111111111111112
inst38,0.5,1.4285714285714286,1.3623188405797102,5.315789473684211,1.45
inst39,1.1578947368421053,1.3043478260869565,1.2941176470588236,2.4827586206896552,1.3333333333333333
inst40,1.0,1.2,1.1764705882352942,2.142857142857143,1.2727272727272727
inst41,1.0,1.0,1.0,1.1111111111111112,1.0
inst42,1.0,1.2857142857142858,1.2592592592592593,2.3157894736842106,1.3333333333333333
inst43,1.326086956521739,1.2884615384615385,1.3142857142857143,1.9361702127659575,1.3333333333333333
inst44,1.267605633802817,1.2,1.2615384615384615,1.4428571428571428,1.206896551724138
inst45,1.0588235294117647,1.2857142857142858,1.3818181818181818,1.9736842105263157,1.2941176470588236
inst46,1.1333333333333333,1.1764705882352942,1.1851851851851851,1.8235294117647058,1.2727272727272727
inst47,1.425531914893617,1.3703703703703705,1.3924050632911393,3.240740740740741,1.3818181818181818
inst48,1.2,1.3103448275862069,1.2820512820512822,2.310344827586207,1.3103448275862069
inst49,0.631578947368421,1.3571428571428572,1.28,2.7058823529411766,1.4
inst50,1.7333333333333334,1.4285714285714286,1.3513513513513513,3.4838709677419355,1.4
inst51,1.6470588235294117,1.2941176470588236,1.3333333333333333,1.5555555555555556,1.2941176470588236
inst52,1.1764705882352942,1.2195121951219512,1.2830188679245282,1.542857142857143,1.2195121951219512
inst53,0.9090909090909091,1.0909090909090908,1.0769230769230769,1.3,1.0909090909090908
inst54,0.7142857142857143,1.3,1.25,2.6923076923076925,1.3333333333333333
inst55,1.0909090909090908,1.1851851851851851,1.2777777777777777,1.9545454545454546,1.2142857142857142
inst56,1.1333333333333333,1.2222222222222223,1.2307692307692308,1.5333333333333334,1.2222222222222223
inst57,1.1875,1.263157894736842,1.2666666666666666,2.35,1.3333333333333333
inst58,1.7692307692307692,1.3793103448275863,1.3258426966292134,5.4411764705882355,1.4333333333333333
inst59,1.4651162790697674,1.4222222222222223,1.3611111111111112,3.9107142857142856,1.3818181818181818
inst60,1.0,1.0,1.0,1.1428571428571428,1.0
inst61,0.8,1.4,1.2777777777777777,2.6956521739130435,1.4
inst62,1.1666666666666667,1.1111111111111112,1.1764705882352942,1.8461538461538463,1.2727272727272727
inst63,0.9523809523809523,1.4615384615384615,1.4090909090909092,4.536585365853658,1.4666666666666666
inst64,1.4631578947368422,1.3027522935779816,1.5384615384615385,1.3975903614457832,1.3027522935779816
inst65,1.190909090909091,1.2231404958677685,1.2582781456953642,1.4150943396226414,1.2283464566929134
inst66,1.0,1.1111111111111112,1.125,1.8181818181818181,1.2
inst67,1.3333333333333333,1.2,1.3,2.1,1.4285714285714286
inst68,1.6153846153846154,1.3333333333333333,1.3164556962025316,2.5675675675675675,1.3333333333333333
inst69,1.7865168539325842,1.3829787234042554,1.3661971830985915,5.651785714285714,1.3333333333333333
inst70,0.8333333333333334,1.2173913043478262,1.2432432432432432,1.8421052631578947,1.2592592592592593
inst71,0.875,1.1666666666666667,1.2173913043478262,1.9285714285714286,1.2307692307692308
inst72,1.5348837209302326,1.2727272727272727,1.3,1.6666666666666667,1.2448979591836735
inst73,0.8571428571428571,1.1111111111111112,1.2,1.3636363636363635,1.1666666666666667
inst74,1.2777777777777777,1.3,1.3333333333333333,1.7272727272727273,1.3043478260869565
inst75,1.125,1.2727272727272727,1.263157894736842,2.3157894736842106,1.3846153846153846
inst76,1.6285714285714286,1.3181818181818181,1.3623188405797102,1.5483870967741935,1.3181818181818181
inst77,0.8888888888888888,1.2307692307692308,1.2222222222222223,2.3529411764705883,1.2857142857142858
inst78,1.59375,1.3548387096774193,1.368421052631579,3.111111111111111,1.2972972972972974
inst79,0.9444444444444444,1.3636363636363635,1.3,3.4375,1.325
inst80,0.75,1.1111111111111112,1.0909090909090908,1.7777777777777777,1.1111111111111112
inst81,0.875,1.3846153846153846,1.3333333333333333,2.6666666666666665,1.3846153846153846
inst82,1.1428571428571428,1.2941176470588236,1.3076923076923077,1.375,1.3
inst83,1.1923076923076923,1.2352941176470589,1.2602739726027397,1.6666666666666667,1.2571428571428571
inst84,1.5121951219512195,1.3636363636363635,1.353846153846154,1.853658536585366,1.3777777777777778
inst85,0.7333333333333333,1.2380952380952381,1.2258064516129032,3.642857142857143,1.28
inst86,1.4722222222222223,1.3846153846153846,1.4285714285714286,2.1025641025641026,1.3409090909090908
inst87,1.2857142857142858,1.0,1.1666666666666667,1.4545454545454546,1.25
inst88,1.591549295774648,1.35,1.3513513513513513,3.768292682926829,1.3191489361702127
inst89,1.1666666666666667,1.0,1.0909090909090908,1.3,1.1428571428571428
inst90,1.32,1.3220338983050848,1.3333333333333333,3.109375,1.3088235294117647
inst91,0.7272727272727273,1.2941176470588236,1.25,3.090909090909091,1.3
inst92,1.0833333333333333,1.3333333333333333,1.2,2.0,1.25
inst93,1.6020408163265305,1.3271028037383177,1.3509933774834437,3.1142857142857143,1.282258064516129
inst94,1.4722222222222223,1.3488372093023255,1.3432835820895523,6.521739130434782,1.3958333333333333
inst95,1.3333333333333333,1.4166666666666667,1.3333333333333333,3.107142857142857,1.4074074074074074
