,alpha,heuristic,inductive,ILP,split
inst228,29,32,46,37,32
inst229,26,35,64,62,42
inst230,32,37,59,48,50
inst231,144,138,207,438,146
inst232,77,101,164,146,104
inst233,11,16,30,24,22
inst234,138,129,169,125,129
inst235,15,31,35,77,31
inst236,9,22,26,38,22
inst237,188,181,279,319,187
inst238,192,206,238,350,225
inst239,36,50,54,82,50
inst240,116,137,224,263,157
inst241,27,36,71,41,43
inst242,46,60,114,93,70
inst243,64,62,92,63,62
inst244,20,32,61,63,35
inst245,31,28,58,100,46
inst246,20,43,72,44,46
inst247,10,19,34,31,22
inst248,114,138,100,162,144
inst249,41,64,106,227,74
inst250,62,62,103,148,81
inst251,21,50,58,70,50
inst252,7,19,23,25,19
inst253,278,279,368,336,303
inst254,116,107,108,98,107
inst255,156,176,295,249,188
inst256,109,100,138,104,110
inst257,80,85,126,91,87
inst258,127,137,211,257,139
inst259,62,75,118,78,82
inst260,13,12,23,23,15
inst261,237,264,237,305,276
inst262,45,47,57,51,47
inst263,96,132,178,151,138
inst264,25,49,95,139,55
inst265,13,25,61,79,39
inst266,42,65,94,175,75
inst267,161,177,171,166,190
