log,no_distinct_traces,no_total_traces,avg_trace_length,avg_event_repetition_intra_trace,no_distinct_events,no_events_total,no_distinct_start,no_distinct_end,density,length_one_loops,total_no_activities,percentage_concurrency,percentage_sequence,dfg_mean_variable_degree,dfg_variation_coefficient_variable_degree,dfg_min_variable_degree,dfg_max_variable_degree,dfg_entropy_variable_degree,dfg_wcc_min,dfg_wcc_max
3275032853,4.0,1228.0,0.005700325732899023,0.0008143322475570033,3.0,1231.0,1.0,3.0,0.5555555555555556,0.3333333333333333,3,0.1111111111111111,0.2222222222222222,2.8,0.614451804788759,1,6,1.4377014436429414,0.0,0.0
118779160,13.0,1476.0,0.052845528455284556,0.0,13.0,8856.0,3.0,2.0,0.2485207100591716,0.0,13,0.03550295857988166,0.10650887573964497,3.8666666666666667,0.6668648139935764,2,9,2.510535028275076,0.035700735598391355,0.035700735598391355
699809920,58.0,1460.0,0.5561643835616439,2.3294520547945203,48.0,17256.0,2.0,4.0,0.07161458333333333,0.020833333333333332,48,0.002170138888888889,0.034722222222222224,3.64,0.8070753418452106,2,16,3.6681067003446675,0.00357296772530261,0.00357296772530261
1717818926,3.0,1146.0,0.004363001745200698,0.0008726003490401396,2.0,1148.0,1.0,2.0,0.75,0.5,2,0.25,0.25,2.5,0.6,1,5,1.2206072645530175,0.0,0.0
3698444740,4.0,1156.0,0.0034602076124567475,0.0,4.0,1156.0,4.0,4.0,0.0,0.0,4,0.0,0.0,2.6666666666666665,0.3535533905932738,2,4,1.7328679513998633,0.0,0.0
3911589811,6.0,1117.0,0.017905102954341987,0.0008952551477170994,7.0,3353.0,2.0,2.0,0.3469387755102041,0.14285714285714285,7,0.02040816326530612,0.16326530612244897,2.888888888888889,0.44522449626116256,2,5,2.1058918174237933,0.0,0.0
1495787027,9.0,1174.0,0.03747870528109029,0.0017035775127768314,12.0,5311.0,1.0,1.0,0.25,0.16666666666666666,12,0.013888888888888888,0.11805555555555555,3.0,0.5773502691896257,1,7,2.4835653414113037,0.0,0.0
2371567330,15.0,1010.0,0.06336633663366337,0.899009900990099,12.0,3941.0,5.0,2.0,0.19444444444444445,0.16666666666666666,12,0.027777777777777776,0.09027777777777778,3.4285714285714284,0.8799463367476199,2,13,2.3676242873712052,0.0007957619258276545,0.0007957619258276545
1885872358,4.0,1441.0,0.004163775156141568,0.0006939625260235947,3.0,1443.0,2.0,3.0,0.3333333333333333,0.3333333333333333,3,0.1111111111111111,0.1111111111111111,2.8,0.41649656391752143,2,5,1.5317780787913653,0.0,0.0
432482109,2.0,1251.0,0.003996802557953637,0.0,3.0,2503.0,1.0,1.0,0.6666666666666666,0.0,3,0.0,0.3333333333333333,2.0,0.4472135954999579,1,3,1.5047882836811908,0.0014362897933545894,0.0014362897933545894
